MsgID.GLOBAL_POSITION,1519800989.1973643,-121.9939365,37.4137419,0.1320000
MsgID.LOCAL_VELOCITY,1519800989.1973643,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519800989.1980927,0.1349382,-0.0007037,-0.1329942
MsgID.LOCAL_VELOCITY,1519800989.1980927,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1519800989.1991205,False,False
MsgID.GLOBAL_HOME,1519800989.2007406,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1519800989.2012157,-121.9939384,37.4137421,0.1320000
MsgID.LOCAL_VELOCITY,1519800989.2012157,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519800989.2017756,0.1614873,-0.1719634,-0.1321426
MsgID.LOCAL_VELOCITY,1519800989.2017756,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1519800989.2023001,-121.9939379,37.4137415,0.1260000
MsgID.LOCAL_VELOCITY,1519800989.2023001,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519800989.2028286,0.0935849,-0.1281912,-0.1267499
MsgID.LOCAL_VELOCITY,1519800989.2028286,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1519800989.2034092,-121.9939365,37.4137400,0.1170000
MsgID.LOCAL_VELOCITY,1519800989.2034092,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519800989.2038007,-0.0798608,-0.0029285,-0.1179802
MsgID.LOCAL_VELOCITY,1519800989.2038007,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1519800989.2041659,-121.9939376,37.4137404,0.1070000
MsgID.LOCAL_VELOCITY,1519800989.2041659,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519800989.2045002,-0.0365026,-0.0976853,-0.1071902
MsgID.LOCAL_VELOCITY,1519800989.2045002,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1519800989.2050714,False,False
MsgID.GLOBAL_HOME,1519800989.2058711,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1519800989.2061892,-121.9939384,37.4137408,0.0970000
MsgID.LOCAL_VELOCITY,1519800989.2061892,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519800989.2065506,0.0171389,-0.1742606,-0.0969357
MsgID.LOCAL_VELOCITY,1519800989.2065506,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1519800989.2089605,-121.9939379,37.4137419,0.0890000
